epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,1251.85,0.80367,0.5326,0.9982,0.90074,0.88624,0.91949,0.6309,1.15353,0.60945,1.20864,0.00023357,0.00023357,0.00023357
171,1254.05,0.81225,0.53094,1.01119,0.91863,0.88137,0.92397,0.63742,1.1279,0.61076,1.19527,0.000226497,0.000226497,0.000226497
172,1256.29,0.79486,0.53547,1.01592,0.92616,0.8887,0.92475,0.64048,1.15436,0.61074,1.20815,0.000219423,0.000219423,0.000219423
173,1260.03,0.78374,0.52019,0.99029,0.92942,0.88845,0.93425,0.64226,1.14851,0.60256,1.21439,0.000212349,0.000212349,0.000212349
174,1262.71,0.77907,0.51634,1.00284,0.91582,0.90152,0.933,0.64434,1.14333,0.59622,1.21014,0.000205276,0.000205276,0.000205276
175,1265.18,0.76738,0.50997,0.99244,0.91604,0.90216,0.93458,0.64019,1.15753,0.59622,1.21821,0.000198202,0.000198202,0.000198202
176,1267.45,0.76943,0.5147,0.99935,0.93652,0.8991,0.9403,0.64134,1.14202,0.58578,1.20108,0.000191129,0.000191129,0.000191129
177,1269.65,0.79807,0.53741,1.01982,0.92885,0.88151,0.93684,0.6393,1.15781,0.60085,1.21085,0.000184055,0.000184055,0.000184055
178,1271.9,0.77052,0.51639,0.99823,0.93361,0.89767,0.94259,0.64979,1.11994,0.59594,1.1922,0.000176982,0.000176982,0.000176982
179,1274.13,0.75771,0.51466,1.0024,0.91576,0.9051,0.94307,0.64682,1.13153,0.6001,1.1948,0.000169908,0.000169908,0.000169908
180,1276.37,0.76782,0.50015,0.98985,0.92755,0.90384,0.94077,0.64458,1.13277,0.60779,1.19749,0.000162835,0.000162835,0.000162835
181,1278.66,0.75684,0.50779,0.99342,0.90303,0.90132,0.93763,0.64764,1.14049,0.60949,1.20188,0.000155761,0.000155761,0.000155761
182,1280.96,0.78527,0.51884,0.99043,0.89933,0.89721,0.93099,0.6406,1.14598,0.60854,1.21224,0.000148687,0.000148687,0.000148687
183,1283.32,0.77827,0.51078,1.00101,0.89448,0.91396,0.93557,0.64551,1.14294,0.60856,1.21387,0.000141614,0.000141614,0.000141614
